word,frequency
weather,12.0
idiots,12.0
hello,12.0
em,12.0
becomes,12.0
fit,12.0
scream,12.0
remembered,12.0
committed,12.0
youth,12.0
wondering,12.0
bs,12.0
veteran,12.0
thousands,12.0
rarely,12.0
questioning,12.0
expression,12.0
partner,12.0
report,12.0
nuts,12.0
huh,12.0
proof,12.0
note,12.0
personally,12.0
parent,12.0
army,12.0
shouting,12.0
received,12.0
mistake,12.0
comedienne,12.0
european,11.0
older,11.0
ba,11.0
@noamchomskyt,11.0
tree,11.0
spirit,11.0
@nypost,11.0
mentioned,11.0
hilarious,11.0
blaming,11.0
consequences,11.0
cities,11.0
(and,11.0
alot,11.0
continues,11.0
nfl,11.0
posted,11.0
tiny,11.0
nerd,11.0
@abc,11.0
boycott,11.0
jordan,11.0
thru,11.0
@charliefox_1984,11.0
stories,11.0
slightly,11.0
dreams,11.0
total,11.0
lied,11.0
trash,11.0
department,11.0
rain,11.0
ne,11.0
treated,11.0
views,11.0
camera,11.0
helpless,11.0
speaks,11.0
@borisjohnson,11.0
9,11.0
adorable,11.0
b/c,11.0
harm,11.0
selfish,11.0
nearly,11.0
married,11.0
karim,11.0
kick,11.0
*,11.0
la,11.0
tazer,11.0
daughter's,11.0
masks,11.0
officials,11.0
born,11.0
books,11.0
size,11.0
pharmacists,11.0
differently,11.0
besides,11.0
goal,11.0
risk,11.0
hatred,11.0
set,11.0
@evlhornet01,11.0
create,11.0
happiness,11.0
customers,11.0
original,11.0
piss,11.0
taste,11.0
@mayer94455909,11.0
stopping,11.0
dr,11.0
project,11.0
reasonable,11.0
disrespectful,11.0
noises*,11.0
@ign,11.0
period,11.0
customer,11.0
abo,11.0
draw,11.0
@foxnews,11.0
parts,11.0
learning,11.0
youve,11.0
attempted,11.0
tr,11.0
leaders,11.0
trans,11.0
rules,11.0
carry,11.0
non-lethal,11.0
anybody,11.0
knowledge,11.0
random,11.0
mark,11.0
area,11.0
tiktok,11.0
tony,11.0
accounts,11.0
cases,11.0
di,11.0
begging,11.0
soo,11.0
lonely,11.0
riot,11.0
india,11.0
moved,11.0
suicide,11.0
talked,11.0
@gop,11.0
tonight,11.0
appears,11.0
